KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"PT","ADIWARNA ANUGERAH ABADI TBK","Calon Rekanan Waskita","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi),","","DKI Jakarta","KONSULTAN MANAJEMEN & BISNIS","IN001"
"CV","SURYA MANUNGGAL KARYA","Calon Rekanan Waskita Approved Level 1","Sewa Alat","","Lampung","","BG009"
"PT","Eka Buana Davinka","Unverified","Sub Kontraktor Kecil dan Menengah","","Sumatera Utara","","IN011"
"CV","GLOBE ANUGRAH PERSADA","Rekanan Terdaftar","Supplier","Supplier : 65 Medium Risk (Version 1)","Jawa Barat","","IT003"
"CV","NIPPO TECH SEJAHTERA","Rekanan Terdaftar","Supplier Besar","Supplier : 65 Medium Risk (Version 1)","Jawa Timur","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","PB004"
"PT","ROJO DJAYA PUTRA","Registered","Sub Kontraktor Kecil dan Menengah","","Banten","","BG007"
"PT","MITRA TATA ABADIBERSAMA","Calon Rekanan Waskita Approved Level 1","Supplier Besar","","DKI Jakarta","","PL004"
"PT","CAKRA BINA UTAMA","Unverified","Supplier Menengah,","Supplier : 65 High Risk (Version 3), Sewa Alat : 58 Medium Risk (Version 3)","Jawa Tengah","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","IN007"
"PT","TRANSDATA SATKOMINDO","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","DKI Jakarta","WATER TANK, SUPPLIER","BS002"
"PT","BERKAT ABADI KONTRINDO","Unverified","Sub Kontraktor Kecil dan Menengah","Supplier : 40 Low Risk (Version 3), Sub Kontraktor : 31 Low Risk (Version 3)","DKI Jakarta","GALIAN & TIMBUNAN, SUBKON","BS004"
"PT","REKAYASA GEOTEKNIK INDONESIA","Unverified","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","DINDING PENAHAN TANAH / DPT, SUBKON ;","AT001"
"PT","ARTHA MEGA SERINDO KONSTRUKSI","Rekanan Terdaftar","Supplier Menengah","Supplier : 65 Medium Risk (Version 1)","DKI Jakarta","SPARE PART PERALATAN KONSTRUKSI, SUPPLIER","KK001"
"CV","Pradana Persada","Calon Rekanan Waskita Approved Level 1","Supplier Menengah,","","Sumatera Utara","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BG002"
"CV","NUSA INTI CEMERLANG","Registered","","","DI Aceh","","IN002"
"PT","PT NISCAYA SINERGI ASKALA","Unverified","Supplier Menengah","Supplier : 60 Low Risk (Version 1)","Sumatera Utara","AGREGAT & BATU PECAH / BELAH, SUPPLIER","BS010"
"PT","MEGAH ARTARA RAYA","Registered","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","DKI Jakarta","PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER","BG006"
"PT","MULYA KARYA","Unverified","Supplier","","DKI Jakarta","AGREGAT & BATU PECAH / BELAH, SUPPLIER","BS001"
"PT","PRIMASTAR MANDIRI","Registered","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Jawa Barat","","PB003"
"CV","ESTU JAYA KONSTRUKSI","Calon Rekanan Waskita Approved Level 1","Sewa Alat","","Sulawesi Selatan","","IN006"
"CV","TESAR F KARYA AMI","Registered","Supplier Besar","","Jawa Barat","","BS004"
"PT","ALUMINDO METAL SEJAHTERA","Calon Rekanan Waskita Approved Level 1","Supplier Menengah,","","Oe-Cusse AmbenoÂ (Pan","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BS001"
"PT","CITRAPRISMA MANDIRI","Registered","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","BG001"
"PT","PT GRAHA SURVEI INDONESIA","Unverified","Supplier","","DKI Jakarta","","RK001"
"PT","GEMILANG AGUNG CEMERLANG","Registered","Supplier","","Kep Riau","","BG003"
"PT","WIJAYA KARYA BETON","Registered","Supplier Besar","","Sumatera Utara","","BS007"
"PT","AMANAH ANUGERAH MANDIRI","Unverified","Supplier","","Sumatera Barat West","","BS001"
"PT","SIGEAON INDAH MANDIRI","Registered","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","","BS001"
"PT","JASA TIRTA ENERGI","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 100 High Risk (Version 3)","DKI Jakarta","ELEKTRIKAL, SUBKON","KK001"
"PT","KEYSAH PERDANA","Registered","Supplier Menengah","","DKI Jakarta","SERAGAM","BS005"
"CV","YUDHA PRATAMA","Unverified","Sub Kontraktor","","Banten","","BS001"
"CV","TRIM PANDU ENGINEERING","Calon Rekanan Waskita Approved Level 1","Supplier Menengah,","","Jawa Tengah","ATK / ALAT TULIS KANTOR, SUPPLIER ;","BS001"
"PT","CARAKA PILAR KENCANA","Calon Rekanan Waskita","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Kalimantan Timur","AIR CONDITIONING / AC & FAN, SUPPLIER ;","BG009"
"PT","SAKA DARMA KONSTRUKSI","Unverified","Supplier Menengah","","DKI Jakarta","","BS004"
"CV","ANUGRAH PERTIWI KONTRINDO","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 67 High Risk (Version 3)","DKI Jakarta","RAMBU LALU LINTAS, SUBKON","BS001"
"PT","SIPANDE BOSI","Rekanan Terdaftar","Supplier Menengah,","Sub Kontraktor : 81 High Risk (Version 3), Supplier : 65 High Risk (Version 3)","DKI Jakarta","AIR CONDITIONING / AC & FAN, SUPPLIER ;","BS004"
