KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"CV","BANDAR INDAH PERMATA","Rekanan Terseleksi Waskita","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 60 Low Risk (Version 1)","Sumatera Barat West","FURNITURE, SUBKON","BS002"
"PT","Hsing Loong Indonesia","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 84 High Risk (Version 3)","DKI Jakarta","ACP / ALUMINIUM COMPOSITE PANEL, SUBKON ;","BS011"
"PT","PANCANG SAKTI CITRA PERKASA","Verifikasi Perbaikan Data","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","TEKNOLOGI INFORMASI / IT","BS002"
"PT","CITRA ANGKASA PERSADA","Rekanan Terseleksi Waskita","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","KONSULTAN MANAJEMEN & BISNIS","BS002"
"PT","SUMBER TEGUH CIPTA","Calon Rekanan Waskita Approved Level 1","Supplier Besar","Supplier : 65 High Risk (Version 3)","Jawa Timur","BBM / BAHAN BAKAR MINYAK, SUPPLIER","PL003"
"PT","Indodaya Naratama Abadi","Registered","","","DI Aceh","","BG009"
"PT","NURTRIJAYA","Unverified","Sewa Alat","","Jawa Timur","","BS001"
"PT","SHAVARD ANDALAN GLOBAL","Unverified","Supplier","","DKI Jakarta","","BG009"
"PT","CV. HURIP JAYA ARTHA","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Barat","BORED PILE & SOLDIER PILE, SUBKON","BG009"
"PT","NUSA MITRA LESTARI SUKSES","Unverified","Sewa Alat","","DKI Jakarta","CONCRETE PUMP, SEWA","BS004"
"PT","Artha Geo Integritas","Unverified","Supplier","","Jawa Timur","","BS006"
"PT","PESONA TAMANINDO","Registered","Sub Kontraktor Besar","","Jawa Barat","","PB010"
"CV","CAHAYA ABADI","Registered","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Sulawesi Tengah","AGREGAT & BATU PECAH / BELAH, SUPPLIER ;","BG001"
"PT","SUKSES JAYA MANDIRI PERKASA","Registered","Sub Kontraktor Kecil dan Menengah","","Banten","","BS007"
"PT","PIJAR CEMERLANG KONSTRUKSI","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Riau","UNKNOWN-DATA INCOMPLETE","BG003"
"PT","DASA MULTI KREASI","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 61 High Risk (Version 3)","DKI Jakarta","GEOMEMBRANE , GEOTEXTILE , PVD & PHD, MANDOR ;","PB010"
"PT","CARAKA REKA KARSA","Unverified","Supplier","","Jawa Barat","","BG002"
"PT","WIJAYA KARYA PRACETAK GEDUNG","Rekanan Terdaftar","Sub Kontraktor Besar","Sub Kontraktor : 83 High Risk (Version 1)","DKI Jakarta","ELEVATOR , ESCALATOR & TRAVELATOR, SUPPLIER ;","IN001"
"PT","DUTA KARYA TEKNIK PERDANA","Rekanan Terseleksi Waskita","Sub Kontraktor Besar","Sub Kontraktor : 83 High Risk (Version 3)","DKI Jakarta","CLEARING & GRUBBING, SUBKON ;","BS007"
